domain,validated,confidence,entity_type,evidence_pages,supporting_snippets,reasoning
orangemali.com,True,0.95,provider,https://www.orangemali.com/fr/prt-smartphone-et-tablette.html,Achetez vos smartphones et tablettes à crédit sur plusieurs 12 mois et bénéficiez du meilleur de l'internet autres services associés. Offre disponible uniquement chez Orange Mali,"The content explicitly states that customers can buy smartphones and tablets on credit for several months directly from Orange Mali, confirming that they directly provide smartphone financing services, not just acting as an aggregator or referring to partners."
bdm-sa.com,True,0.8,provider,https://www.bdm-sa.com/malien-residant-a-l-etranger-credit-personnel,"Le crédit personnel est destiné à financer tout type de dépenses, sans aucune restriction quant à l'objet du crédit. Le client a le choix entre plusieurs formules : Le Crédit à la Consommation Le Crédit Équipement Le Crédit Auto Prêt Scolarité Prêt Tabaski","The company explicitly offers 'Crédit Équipement' as a form of personal credit intended to finance various expenses without restriction. This shows they directly provide financing services that can include smartphones. Hence, they qualify as a provider for smartphone financing."
ml.coinafrique.com,True,0.9,aggregator,https://ml.coinafrique.com/categorie/telephones-et-tablettes/samsung-galaxy | https://ml.coinafrique.com/annonce/telephones-et-tablettes/iphone-12-3009809,- Téléphones & Tablettes neufs et occasions - CoinAfrique - Mali Retrouvez toutes les annonces undefined neufs et occasions sur CoinAfrique. Achetez et vendez votre undefined près de chez vous. | Téléphones & Tablettes iPhone 12 neufs et occasions au Mali - CoinAfrique Mali - 3009809 Retrouvez toutes les annonces au Mali ... des milliers d'annonces et bonnes affaires à découvrir près de chez vous et partout en Afrique,"All retrieved pages are listings of phones for sale, either new or used, on the CoinAfrique platform. There is no mention or evidence that the company or domain itself offers smartphone financing, leases, or installment sales. Financing appears to be provided by third parties or not directly stated. Thus, the company acts as an aggregator directing buyers to listings rather than being a direct provider or partner-only financing page."
rebtel.com,False,0.9,unknown,https://www.rebtel.com/fr/campagne/cms/mali-recharger,"Les crédits sont envoyés vers tous les opérateurs au Mali (Orange, Sotelma-Malitel) et sont reçus instantanément afin que votre destinataire puisse passer des appels, envoyer des SMS et acheter des données pour surfer en ligne.","The retrieved page only shows that Rebtel provides mobile credit recharge services, with no indication that they provide smartphone financing directly, partner for financing, or act as an aggregator. Therefore, the entity type is unknown and the goal is not validated."
seagm.com,False,0.8,unknown,https://www.seagm.com/fr/mobile-recharge/Mali,"Rechargez vos crédits de téléphone portable dans Mali , de n'importe où, à n'importe qui.","The retrieved page only demonstrates that Seagm is involved in mobile phone recharge services. There is no mention of directly offering smartphone financing, leasing, or selling smartphones with installment plans. Therefore, based on the provided content, Seagm cannot be classified as a provider, aggregator, or partner in smartphone financing, leading to an unknown classification with no validation."
banqueatlantique.net,True,0.7,unknown,https://www.banqueatlantique.net/bf/particuliers/anet-bf | https://www.banqueatlantique.net/bf/particuliers/credits-conso-bf,Financement de Projets Projets Domestiques Découvert sur Compte Avance sur Salaire Avance sur Rappel Prêt scolaire Crédits Conso Prêt spécial fête Prêt Ramadan Crédit Express 0% Projets Immobiliers Crédit Immobilier | Le capital est remboursé par des mensualités constantes La durée de remboursement peut être choisie librement de sorte que l’échéance mensuelle soit adaptée à votre budget,"The retrieved pages show Banque Atlantique offers various loans and consumer credit products with installment repayment schemes. However, there is no direct mention of financing, selling, leasing, or underwriting smartphones specifically. The evidence is insufficient to conclude that Banque Atlantique directly provides smartphone financing. Therefore, the entity type is classified as unknown."
bamada.net,False,0.8,unknown,https://bamada.net/moov-africa-malitel-innove-lapplication-my-moov-pour-gerer-en-toute-simplicite-votre-compte-mobile-depuis-votre-smartphone-ou-tablette | https://bamada.net/malitel-douze-nouvelles-offres-pour-satisfaire-la-clientele | https://bamada.net/transfert-monetaire-moov-money-innove-encore-au-benefice-de-ses-clients,L’application My Moov pour gérer en toute simplicité votre compte mobile depuis votre Smartphone ou tablette | des clients peuvent souscrire... payer dans les jeux avec leur crédit téléphonique | Mobicash la solution de transfert d’argent et de paiement mobile,"None of the provided retrieved pages contain evidence that Bamada or the domain bamada.net directly offers smartphone financing or installment plans for smartphones. The content mainly covers mobile account management, mobile payments, and telecom services without mention of financing provision or resale on installments. According to the rules, without clear evidence of direct financing services, the entity type cannot be provider, aggregator, or partner_only, so the correct classification is unknown."
app.talk-home.com,False,0.9,unknown,https://app.talk-home.com/mobile-top-up/mali/malitel | https://cards.talk-home.com/international-calling-rates/mali-calling-card,Send mobile top-ups to any Mali phone number in Mali instantly with Talk Home App. Get 10% off on your first Malitel top-up. | Make Cheap Phone Calls to Mali | Calling Cards for Mali. Make cheap international calls to Mali from your landline or mobile.,"Based on the retrieved pages, there is no direct evidence that APP Talk Home provides, finances, underwrites, leases, or sells smartphones on installments, or offers smartphone financing. The pages focus exclusively on mobile top-ups and international calling cards, which are unrelated to smartphone financing. Therefore, the classification is unknown with a high level of confidence."
watra.org,False,0.8,unknown,https://watra.org/mali,"Mobile Connectivity: The prevalence of mobile phone usage, especially smartphones, reflects the accessibility of digital services. The mobile penetration rate was 113.8% in 2020, with 23.1 million active mobile subscribers, according to the AMRTP. The smartphone penetration rate was 40% in 2020, with 8.1 million smartphone users, according to the G","The retrieved page content only contains general information about mobile and smartphone penetration without any indication that the company or domain directly provides smartphone financing services. There is no evidence of financing, underwriting, leasing, or selling smartphones on installment. Based on the provided information, the entity type cannot be determined as provider, aggregator, or partner_only; thus, unknown is the appropriate classification."
maliactu.net,False,0.2,unknown,https://maliactu.net/moov-money-malitel-rend-les-transferts-gratuits-une-revolution-pour-ses-abonnes,"MaliActu.net est le premier site d'information en ligne du Mali. Politique, societe, economie, sport — toute l'actualite malienne en temps reel.","The retrieved page only identifies maliactu.net as a news and information portal with no direct or indirect evidence that it provides smartphone financing or related installment services. The page content is unrelated to the target category, thus failing to demonstrate that the company directly offers, finances, underwrites, leases, or sells smartphone financing services."
